Gemeinde,Verwaltungskreis,Disparitätenabbau,Mindestausstattung,Pauschale Abgeltung,Geo-topo Zuschuss,Sozio-demo Zuschuss
Diessbach b.B.,Seeland,182218.188989184,7669,0,6868,5079
Dotzigen,Seeland,300552.80169703,55340,0,0,10997
Lengnau,Biel/Bienne,-132499.090179757,0,0,0,73144
Leuzigen,Seeland,276307.171978452,67159,0,109313,8063
Meienried,Seeland,1408.15122268868,0,0,9971,409
Meinisberg,Biel/Bienne,262725.468854284,16923,0,0,10217
Oberwil b.B.,Seeland,160075.220439337,2567,0,24752,4429
Pieterlen,Biel/Bienne,852446.111745044,263828,0,0,60579
Rüti b.B.,Seeland,191219.676575187,43050,0,39403,7312
Wengi,Seeland,136551.524374215,27267,0,70551,4044
Brüttelen,Seeland,154178.378872277,63666,0,70071,5023
Erlach,Seeland,66910.6661675958,0,0,0,11161
Finsterhennen,Seeland,122024.398411062,41182,0,59212,5225
Gals,Seeland,3520.58069745675,0,0,59491,6114
Gampelen,Seeland,93752.5346377061,0,0,156188,8034
Ins,Seeland,291870.206240783,0,0,117859,32066
Lüscherz,Seeland,-5935.69953188546,0,0,12970,4480
Müntschemier,Seeland,230156.813381955,0,0,6175,17809
Siselen,Seeland,-28978.2220233824,0,0,95788,4415
Treiten,Seeland,114258.5686196,23246,0,83349,2848
Tschugg,Seeland,86246.0677929916,0,0,2660,5280
Vinelz,Seeland,57023.5399096718,0,0,0,6111
Aegerten,Biel/Bienne,293217.462768311,0,0,0,20290
Bellmund,Biel/Bienne,-675263.703094213,0,0,0,8492
Brügg,Biel/Bienne,-101356.735599823,0,0,0,69662
Bühl,Seeland,59347.5954447237,0,0,894,1411
Epsach,Seeland,115397.915310334,81993,0,30718,2245
Hagneck,Seeland,77372.9527602015,0,0,4042,3565
Hermrigen,Seeland,38646.6767008325,0,0,34649,1309
Jens,Seeland,59464.4328315196,0,0,467,2561
Ipsach,Biel/Bienne,7611.24616415192,0,0,0,37211
